"","Date","LocalName","Name","CountryCode","Fixed","Global","LaunchYear","Type","Counties"
"193",2020-12-06,"Día de la Constitución","Constitution Day","ES",TRUE,TRUE,NA,"Public","All"
"194",2020-12-08,"Inmaculada Concepción","Immaculate Conception","ES",TRUE,TRUE,NA,"Public","All"
"195",2020-12-25,"Navidad","Christmas Day","ES",TRUE,TRUE,NA,"Public","All"
"196",2020-12-26,"Sant Esteve","St. Stephen's Day","ES",TRUE,FALSE,NA,"Public","ES-CT"
"197",2021-01-01,"Año Nuevo","New Year's Day","ES",TRUE,TRUE,1967,"Public","All"
"198",2021-01-06,"Día de Reyes / Epifanía del Señor","Epiphany","ES",TRUE,TRUE,NA,"Public","All"
"199",2021-02-28,"Día de Andalucía","Day of Andalucía","ES",TRUE,FALSE,NA,"Public","ES-AN"
"200",2021-03-01,"Dia de les Illes Balears","Day of the Balearic Islands","ES",TRUE,FALSE,NA,"Public","ES-IB"
"201",2021-03-19,"San José","St. Joseph's Day","ES",TRUE,FALSE,NA,"Public","ES-EX,ES-GA,ES-MD,ES-PV,ES-VC"
"202",2021-04-01,"Jueves Santo","Maundy Thursday","ES",FALSE,FALSE,NA,"Public","ES-AN,ES-AR,ES-CL,ES-CM,ES-CN,ES-EX,ES-GA,ES-IB,ES-RI,ES-MD,ES-MC,ES-NC,ES-AS,ES-PV,ES-CB"
"203",2021-04-02,"Viernes Santo","Good Friday","ES",FALSE,TRUE,NA,"Public","All"
"204",2021-04-05,"Lunes de Pascua","Easter Monday","ES",FALSE,FALSE,1642,"Public","ES-CT,ES-IB,ES-RI,ES-NC,ES-PV,ES-VC"
"205",2021-04-23,"Día de Castilla y León","Castile and León Day","ES",TRUE,FALSE,NA,"Public","ES-CL"
"206",2021-04-23,"San Jorge (Día de Aragón)","Day of Aragón","ES",TRUE,FALSE,NA,"Public","ES-AR"
"207",2021-05-01,"Fiesta del trabajo","Labour Day","ES",TRUE,TRUE,NA,"Public","All"
"208",2021-05-03,"Fiesta de la Comunidad de Madrid","Day of Madrid","ES",FALSE,FALSE,NA,"Public","ES-MD"
"209",2021-05-17,"Día das Letras Galegas","Galician Literature Day","ES",TRUE,FALSE,NA,"Public","ES-GA"
"210",2021-05-30,"Día de Canarias","Day of the Canary Islands","ES",TRUE,FALSE,NA,"Public","ES-CN"
"211",2021-05-31,"Día de la Región Castilla-La Mancha","Day of Castilla-La Mancha","ES",TRUE,FALSE,NA,"Public","ES-CM"
"212",2021-06-03,"Corpus Christi","Corpus Christi","ES",FALSE,FALSE,NA,"Public","ES-CM"
"213",2021-06-09,"Día de La Rioja","Day of La Rioja","ES",TRUE,FALSE,NA,"Public","ES-RI"
"214",2021-06-09,"Día de la Región de Murcia","Day of Murcia","ES",TRUE,FALSE,NA,"Public","ES-MC"
"215",2021-06-24,"Sant Joan","St. John's Day","ES",TRUE,FALSE,NA,"Public","ES-CT,ES-VC"
"216",2021-07-28,"Día de las Instituciones de Cantabria","Day of the Cantabrian Institutions","ES",TRUE,FALSE,NA,"Public","ES-CB"
"217",2021-08-16,"Asunción","Assumption","ES",FALSE,TRUE,NA,"Public","All"
"218",2021-09-08,"Día de Asturias","Day of Asturias","ES",TRUE,FALSE,NA,"Public","ES-AS"
"219",2021-09-08,"Día de Extremadura","Day of Extremadura","ES",TRUE,FALSE,NA,"Public","ES-EX"
"220",2021-09-11,"Diada Nacional de Catalunya","National Day of Catalonia","ES",TRUE,FALSE,NA,"Public","ES-CT"
"221",2021-09-15,"La Bien Aparecida","Regional Holiday","ES",TRUE,FALSE,NA,"Public","ES-CB"
"222",2021-10-09,"Dia de la Comunitat Valenciana","Day of the Valencian Community","ES",TRUE,FALSE,NA,"Public","ES-VC"
"223",2021-10-12,"Fiesta Nacional de España","Fiesta Nacional de España","ES",TRUE,TRUE,NA,"Public","All"
"224",2021-11-01,"Día de todos los Santos","All Saints Day","ES",TRUE,TRUE,NA,"Public","All"
"225",2021-12-06,"Día de la Constitución","Constitution Day","ES",TRUE,TRUE,NA,"Public","All"
"226",2021-12-08,"Inmaculada Concepción","Immaculate Conception","ES",TRUE,TRUE,NA,"Public","All"
"227",2021-12-25,"Navidad","Christmas Day","ES",TRUE,TRUE,NA,"Public","All"
"228",2021-12-26,"Sant Esteve","St. Stephen's Day","ES",TRUE,FALSE,NA,"Public","ES-CT"
"229",2022-01-01,"Año Nuevo","New Year's Day","ES",TRUE,TRUE,1967,"Public","All"
"230",2022-01-06,"Día de Reyes / Epifanía del Señor","Epiphany","ES",TRUE,TRUE,NA,"Public","All"
